route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
5692,,1,SINAI - FORT McHENRY,,3,,0000FF,FFFFFF
5693,,3,SHEPPARD PRATT/CROMWELL-DOWNTOWN,,3,,0000FF,FFFFFF
5694,,4,TURNERS STATION - C C B C ESSEX,,3,,0000FF,FFFFFF
5695,,5,MONDAWMIN - CEDONIA,,3,,0000FF,FFFFFF
5696,,7,MONDAWMIN - CANTON,,3,,0000FF,FFFFFF
5697,,8,LUTHERVILLE - UMTC,,3,,0000FF,FFFFFF
5698,,9,LUTHERVILLE-INTERNATIONAL CIRCLE,,3,,0000FF,FFFFFF
5699,,10,RT. 40/ROLLING - BULLNECK RD.,,3,,0000FF,FFFFFF
5700,,11,TOWSONTOWNE - CANTON CROSSING,,3,,0000FF,FFFFFF
5701,,12,STELLA MARIS - NORTH AVE,,3,,0000FF,FFFFFF
5702,,13,CANTON/FELLS POINT - WALBROOK,,3,,0000FF,FFFFFF
5703,,14,UMTC/PATAPSCO - ANNAPOLIS,,3,,0000FF,FFFFFF
5704,,15,SECURITY MALL - OVERLEA/PERRY HALL,,3,,0000FF,FFFFFF
5705,,16,MONDAWMIN - BROOKLYN HOMES,,3,,0000FF,FFFFFF
5706,,17,PATAPSCO STATION-PARKWAY CENTER,,3,,0000FF,FFFFFF
5707,,18,GLEN - BAAS & TALMUDICAL,,3,,800080,FFFFFF
5708,,19,STATE CENTER - GOUCHER/CARNEY,,3,,0000FF,FFFFFF
5709,,20,SECURITY SQUARE MALL  -  DUNDALK,,3,,0000FF,FFFFFF
5710,,21,FELLS POINT - MONDAWMIN,,3,,0000FF,FFFFFF
5711,,22,BAYVIEW - MONDAWMIN,,3,,0000FF,FFFFFF
5712,,23,RT40 & ROLLING - FOX RIDGE,,3,,0000FF,FFFFFF
5713,,24,WHISPERING WOODS - MORAVIA,,3,,0000FF,FFFFFF
5714,,27,PLAZA STATION - PORT COVINGTON,,3,,0000FF,FFFFFF
5715,,29,CHERRY HILL STATION SHUTTLE,,3,,0000FF,FFFFFF
5716,,30,BAYVIEW - EDMONDSON VILLAGE,,3,,0000FF,FFFFFF
5717,,33,ROGERS STATION - MORAVIA,,3,,0000FF,FFFFFF
5718,,35,WHITEMARSH P&R - UMBC / BLIND IND.,,3,,0000FF,FFFFFF
5719,,36,NORTHERN PKWY & YORK - RIVERVIEW,,3,,0000FF,FFFFFF
5720,,38,NORTH BEND-COLD SPRING & GRANDVIEW,,3,,0000FF,FFFFFF
5721,,03X,CROMWELL BRIDGE - INNER HARBOR EXP,,3,,FF0000,FFFFFF
5722,,40,SECURITY SQ. / MIDDLE RIVER.,,3,,FFFF00,990000
5723,,44,ROSEDALE IND PK - SECURITY SQ. MALL,,3,,0000FF,FFFFFF
5724,,46,CEDONIA-PARADISE QUICKBUS,,3,,FFFF00,990000
5725,,47,WALBROOK-OVERLEA QUICKBUS,,3,,FFFF00,990000
5726,,48,TOWSON - TRANSIT CTR,,3,,FFFF00,990000
5727,,50,BELAIR EDISON SHUTTLE,,3,,0000FF,FFFFFF
5728,,51,ROGERS STATION-PATAPSCO STATION,,3,,0000FF,FFFFFF
5729,,52,MILFORD MILL RD-MONDAWMIN STAT,,3,,0000FF,FFFFFF
